FEN,Average Error,Event,Move,Best Move,Player,To Move,White,Black,Round,Result,WhiteElo,BlackElo,Opening,File
r1bq1rk1/5p1p/2p2np1/3p1P2/p1P5/1P1B4/P2NQ1PP/3R1RK1 w - - 0 18,1.6083783783783785,FIDE World Championship Match 1969,e2f2,b3b4,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r1bq1rk1/5p1p/2p2np1/3p1P2/p1P5/1P1B4/P2N1QPP/3R1RK1 b - - 1 18,1.5669696969696967,FIDE World Championship Match 1969,a4b3,f6g4,Black,Black,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r1bq1rk1/5p1p/2p2np1/3p1P2/2P5/1p1B4/P2N1QPP/3R1RK1 w - - 0 19,3.170285714285715,FIDE World Championship Match 1969,a2b3,d2b3,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
r1bq1rk1/5p1p/2p2np1/3p1P2/2P5/1P1B4/3N1QPP/3R1RK1 b - - 0 19,1.6228571428571428,FIDE World Championship Match 1969,a8a2,f6g4,Black,Black,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
2bq1rk1/7p/2p2np1/3p4/2P5/1P1B4/r2N1QPP/3R1RK1 w - - 0 21,2.2091428571428575,FIDE World Championship Match 1969,h2h3,f2d4,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
2bq1rk1/7p/2p2np1/3p4/2P5/1P1B3P/r2N1QP1/3R1RK1 b - - 0 21,4.38025,FIDE World Championship Match 1969,d8e7,f6h5,Black,Black,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
2b2rk1/4q2p/2p2np1/3p4/2P5/1P1B3P/r2N1QP1/3R1RK1 w - - 1 22,2.0968571428571434,FIDE World Championship Match 1969,f2d4,d3b1,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
2b2rk1/4q2p/5np1/2pp4/2PQ4/1P1B3P/r2N2P1/3R1RK1 w - - 0 23,5.162999999999999,FIDE World Championship Match 1969,d4f4,d4f2,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
2b2rk1/4q2p/5np1/2pp4/2P2Q2/1P1B3P/r2N2P1/3R1RK1 b - - 1 23,2.754166666666667,FIDE World Championship Match 1969,c8b7,d5d4,Black,Black,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
5rk1/1b2q2p/5np1/2pp4/2P2Q2/1P1B3P/r2N2P1/3R1RK1 w - - 2 24,2.821463414634147,FIDE World Championship Match 1969,d1e1,f4g5,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
5rk1/1b2q2p/5np1/2pp4/2P2Q2/1P1B3P/r2N2P1/4RRK1 b - - 3 24,28.423478260869576,FIDE World Championship Match 1969,e7g7,f6h5,Black,Black,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
5rk1/1b4qp/5np1/2pp4/2P2Q2/1P1B3P/r2N2P1/4RRK1 w - - 4 25,2.367872340425531,FIDE World Championship Match 1969,f4e3,f4g5,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
5rk1/1b4qp/5np1/2p5/2Pp4/1P1BQ2P/r2N2P1/4RRK1 w - - 0 26,8.124102564102566,FIDE World Championship Match 1969,e3e6,e3f4,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
5rk1/1b3q1p/4Qnp1/2p5/2Pp4/1P1B3P/r2N2P1/4RRK1 w - - 2 27,6.498043478260867,FIDE World Championship Match 1969,e6e2,f1f6,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
4n1k1/1b5p/6p1/2p5/2Pp4/1P1B3P/r2N2P1/5RK1 w - - 0 31,4.127142857142857,FIDE World Championship Match 1969,d3e4,f1f2,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
4n1k1/1B5p/6p1/2p5/2Pp4/1P5P/3r2P1/5RK1 b - - 0 32,1.6177777777777778,FIDE World Championship Match 1969,e8d6,d2b2,Black,Black,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/6kp/3n2p1/2pB4/2Pp4/1P5P/3r2P1/5RK1 w - - 3 34,2.811153846153846,FIDE World Championship Match 1969,b3b4,g2g4,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/6kp/2P3p1/3B1n2/1p1p4/7P/2r3P1/5RK1 w - - 1 37,3.1930434782608694,FIDE World Championship Match 1969,g2g4,d5e4,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/6kp/2P3p1/3B1n2/1p1p2P1/7P/2r5/5RK1 b - - 0 37,2.6566666666666663,FIDE World Championship Match 1969,f5d6,f5e3,Black,Black,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/6kp/2Pn2p1/3B4/1p1p2P1/7P/2r5/5RK1 w - - 1 38,3.9376923076923074,FIDE World Championship Match 1969,f1f4,f1d1,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/6kp/2Pn2p1/3B4/1p3RP1/3p3P/2r5/6K1 w - - 0 39,4.922692307692307,FIDE World Championship Match 1969,f4d4,d5b3,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/6kp/2Pn2p1/3B4/1p1R2P1/3p3P/2r5/6K1 b - - 1 39,1.65,FIDE World Championship Match 1969,d3d2,c2c3,Black,Black,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/3R2kp/2r3p1/8/1p2n1P1/1B5P/8/6K1 b - - 2 42,0.275,FIDE World Championship Match 1969,g7f6,g7h6,Black,Black,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/3R3p/2r2kp1/8/1p2n1P1/1B5P/8/6K1 w - - 3 43,3.3689655172413793,FIDE World Championship Match 1969,d7h7,d7b7,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/7R/2r2kp1/8/1p2n1P1/1B5P/8/6K1 b - - 0 43,1.3390476190476193,FIDE World Championship Match 1969,c6c1,e4d2,Black,Black,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/7R/5kp1/8/1p2n1P1/1B5P/6K1/2r5 b - - 2 44,1.6316666666666666,FIDE World Championship Match 1969,e4c5,c1c3,Black,Black,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/7R/5kp1/2n5/1p4P1/1B5P/6K1/2r5 w - - 3 45,3.8042307692307697,FIDE World Championship Match 1969,b3f7,h7f7,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/5B1R/5kp1/2n4P/8/1p3K2/2r5/8 b - - 2 49,0.7687499999999999,FIDE World Championship Match 1969,b3b2,c2c3,Black,Black,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/7R/5kp1/2n4P/8/5K2/Bpr5/8 b - - 1 50,0.6364,FIDE World Championship Match 1969,g6h5,c2c3,Black,Black,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/8/5k2/2n4R/8/5K2/Bp6/2r5 w - - 1 52,33.38384615384615,FIDE World Championship Match 1969,h5h6,f3e3,White,White,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/8/5k1R/2n5/8/5K2/Bp6/2r5 b - - 2 52,0.966,FIDE World Championship Match 1969,f6e5,f6e7,Black,Black,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/8/4R3/4k3/n7/5K2/Bp6/2r5 b - - 6 54,2.105,FIDE World Championship Match 1969,e5d4,e5f5,Black,Black,"Spassky, Boris V.","Petrosian, Tigran V",1,0-1,N/A,N/A,"Sicilian Defense: Kan Variation, Modern Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
