FEN,Average Error,Event,Move,Best Move,Player,To Move,White,Black,Round,Result,WhiteElo,BlackElo,Opening,File
2r1r1k1/1q2bpp1/2p2n1p/3p4/p7/3QB1P1/PPRNPP1P/5RK1 w - - 4 22,-3.095681818181818,FIDE World Championship Match 1969,f1c1,e3d4,White,White,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
2r1rbk1/1q1n1pp1/7p/2pp4/8/1P1QBNP1/2R1PP1P/2R3K1 w - - 1 26,-3.001904761904762,FIDE World Championship Match 1969,c1a1,b3b4,White,White,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
5bk1/5p2/2q3pp/2pp4/8/1PB3P1/4PP1P/3Q1K2 w - - 2 36,-3.142903225806451,FIDE World Championship Match 1969,f2f3,f1g1,White,White,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
6k1/5p2/3bq1p1/2pp3p/8/1PB2PPP/4P1K1/3Q4 w - - 1 39,-8.814411764705882,FIDE World Championship Match 1969,d1d3,h3h4,White,White,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
5k2/5p2/6p1/2ppq2p/7P/1P1Q1PP1/4P1K1/8 w - - 1 42,-10.4428,FIDE World Championship Match 1969,g2f1,g2f2,White,White,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/4kp2/3q2p1/1Qpp3p/7P/1P3PP1/4PK2/8 w - - 7 45,-3.066086956521739,FIDE World Championship Match 1969,b5b7,b5a5,White,White,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/2q2p2/5kp1/1Qpp3p/7P/1P3PP1/4PK2/8 w - - 11 47,-3.310000000000001,FIDE World Championship Match 1969,b5d3,b3b4,White,White,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/2q2p2/5kp1/3p3p/2p4P/1P1Q1PP1/4PK2/8 w - - 0 48,-21.43913043478261,FIDE World Championship Match 1969,b3c4,d3d4,White,White,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/2q2p2/4k1p1/7p/2p4P/2Q2PP1/4PK2/8 w - - 2 50,-13.013333333333335,FIDE World Championship Match 1969,f2e3,e2e3,White,White,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/5p2/4k1p1/2q4p/2pQ3P/4KPP1/4P3/8 b - - 5 51,7.738695652173914,FIDE World Championship Match 1969,c5a3,c5e5,Black,Black,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/5p2/4k1p1/q6p/2pQ3P/5PP1/2K1P3/8 b - - 9 53,27.509999999999994,FIDE World Championship Match 1969,a5b5,a5a4,Black,Black,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/5p2/4k1p1/1q5p/2pQ3P/5PP1/2K1P3/8 w - - 10 54,-14.274374999999997,FIDE World Championship Match 1969,c2c3,e2e3,White,White,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/5p2/4k1p1/7p/1qpQ3P/5PP1/2K1P3/8 b - - 15 56,30.777826086956527,FIDE World Championship Match 1969,b4a4,b4b3,Black,Black,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/5p2/4k1p1/7p/q1pQ3P/2K2PP1/4P3/8 b - - 17 57,22.091,FIDE World Championship Match 1969,a4a5,a4a1,Black,Black,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/5p2/4k1p1/q6p/2KQ3P/5PP1/4P3/8 b - - 0 58,44.934799999999996,FIDE World Championship Match 1969,a5c7,a5a6,Black,Black,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
8/5p2/4k1p1/7p/3Q3P/3K1Pq1/4P3/8 w - - 0 60,-8.936451612903227,FIDE World Championship Match 1969,d4c4,d3d2,White,White,"Petrosian, Tigran V","Spassky, Boris V.",2,1/2-1/2,N/A,N/A,"Tarrasch Defense: Classical Variation, Spassky Variation",analysis_pgns_test/4c6eS6SH---1969 Petrosian vs. Spassky .pgn
