FEN,Average Error,Event,Move,Best Move,Player,To Move,White,Black,Round,Result,WhiteElo,BlackElo,Opening,File
1r3nk1/R5p1/2r1pp2/1N5p/P7/4P1P1/5PKP/3R4 b - - 1 34,3.698518518518519,FIDE World Championship Match 1986,e6e5,c6c2,Black,Black,"Kasparov, Garry","Karpov, Anatoly",4,1-0,2740,2705,Nimzo-Indian Defense: Three Knights Variation,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
1r3nk1/R5p1/2r2p2/1N2p2p/P7/3RP1P1/5PKP/8 b - - 1 35,3.4382758620689664,FIDE World Championship Match 1986,g8h7,f8e6,Black,Black,"Kasparov, Garry","Karpov, Anatoly",4,1-0,2740,2705,Nimzo-Indian Defense: Three Knights Variation,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
1r3n2/R5pk/2r2p2/1N2p2p/P7/2R1P1P1/5PKP/8 b - - 3 36,4.881153846153847,FIDE World Championship Match 1986,b8c8,c6b6,Black,Black,"Kasparov, Garry","Karpov, Anatoly",4,1-0,2740,2705,Nimzo-Indian Defense: Three Knights Variation,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
8/R5pk/2r1np2/3Np2p/P7/4P1P1/5PKP/8 b - - 3 39,4.064166666666666,FIDE World Championship Match 1986,h7h6,e6c5,Black,Black,"Kasparov, Garry","Karpov, Anatoly",4,1-0,2740,2705,Nimzo-Indian Defense: Three Knights Variation,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
8/R5p1/2r1np1k/P2Np2p/8/4P1P1/5PKP/8 b - - 0 40,4.084,FIDE World Championship Match 1986,e5e4,c6c5,Black,Black,"Kasparov, Garry","Karpov, Anatoly",4,1-0,2740,2705,Nimzo-Indian Defense: Three Knights Variation,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
rnb1k2r/pp2ppbp/6p1/2PP4/5B2/2n1P3/qP1Q1PPP/2R1KBNR w Kkq - 0 10,-9.037567567567567,FIDE World Championship Match 1986,b2c3,c1c3,White,White,"Karpov, Anatoly","Kasparov, Garry",5,1-0,2705,2740,Grünfeld Defense: Brinckmann Attack,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
rnb1k2r/pp2ppbp/6p1/2PP4/5B2/2P1P3/q2Q1PPP/2R1KBNR b Kkq - 0 10,7.774651162790695,FIDE World Championship Match 1986,a2d2,a2a5,Black,Black,"Karpov, Anatoly","Kasparov, Garry",5,1-0,2705,2740,Grünfeld Defense: Brinckmann Attack,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
2r3k1/3b2b1/3Pp2p/2p1Ppp1/2P2B1P/r2N1P2/p2K2P1/R3R3 w - - 0 26,-3.3600000000000008,FIDE World Championship Match 1986,h4g5,f4e3,White,White,"Karpov, Anatoly","Kasparov, Garry",5,1-0,2705,2740,Grünfeld Defense: Brinckmann Attack,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
2r3k1/3b2b1/3Pp2p/2p1PpP1/2P2B2/r2N1P2/p2K2P1/R3R3 b - - 0 26,3.83,FIDE World Championship Match 1986,h6g5,c8b8,Black,Black,"Karpov, Anatoly","Kasparov, Garry",5,1-0,2705,2740,Grünfeld Defense: Brinckmann Attack,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
2r3k1/3b2b1/3Pp3/2p1PpB1/2P5/r2N1P2/p2K2P1/R3R3 b - - 0 27,3.1827586206896545,FIDE World Championship Match 1986,g8f7,c8b8,Black,Black,"Karpov, Anatoly","Kasparov, Garry",5,1-0,2705,2740,Grünfeld Defense: Brinckmann Attack,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
2r5/3b1kb1/3Pp3/2p1Pp2/2P2B2/r2N1P2/p2K2P1/R3R3 b - - 2 28,3.3033333333333332,FIDE World Championship Match 1986,c8b8,c8h8,Black,Black,"Karpov, Anatoly","Kasparov, Garry",5,1-0,2705,2740,Grünfeld Defense: Brinckmann Attack,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
1r6/3b1kb1/3Pp3/2p1Pp2/2P2B2/r2N1P2/p2K2P1/R1R5 b - - 4 29,4.172777777777777,FIDE World Championship Match 1986,d7c6,b8b6,Black,Black,"Karpov, Anatoly","Kasparov, Garry",5,1-0,2705,2740,Grünfeld Defense: Brinckmann Attack,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
1r6/5kb1/2bPp3/2p1Pp2/2P2B2/r1RN1P2/p2K2P1/R7 b - - 6 30,5.782820512820513,FIDE World Championship Match 1986,a3a5,a3a4,Black,Black,"Karpov, Anatoly","Kasparov, Garry",5,1-0,2705,2740,Grünfeld Defense: Brinckmann Attack,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
